#1 Nearest,#2 Nearest,#3 Nearest,#4 Nearest,#5 Nearest,Multiplier
3220.491080582183,4572.076838050312,6414.736034952381,8033.8855859647065,11950.26380143997,1.0
1498.1400507275087,2275.1525902917174,4103.463367892982,4764.01561164262,6772.074311763677,1.0
3235.354454306927,4609.899737779017,6453.393259742796,8091.703141310154,12013.366463318333,1.0
1547.9314032910117,2186.56516537537,3788.486951704468,4747.8744543505245,5594.0733246852005,1.0
1926.3234932828175,2191.2287001962054,2733.4797486029975,6292.472272381712,9190.119849813753,1.0
662.7362058818309,1588.3304251403183,2460.504037888376,3414.092876359718,6615.241083546816,1.0
3236.93589603319,4613.734327117121,6457.29580139241,7607.2017817882415,12019.68512494388,1.0
1464.2067585657883,2186.56516537537,3500.1868731428654,4750.875280508486,5594.0733246852005,1.0
1926.3234932828175,2029.9233925043143,2733.4797486029975,6292.472272381712,9190.119849813753,1.0
662.7362058818309,1177.1587844407595,2131.6270917587754,3538.001667135349,6615.241083546816,1.0
3001.3674636257015,4876.686224907894,6381.743585012592,7634.95848877214,11990.748648630066,1.0
1341.7021683148332,2186.56516537537,3380.077587968874,4769.804321531744,5724.834317980169,1.0
734.7846661987194,1500.94929675037,3792.4664839124716,8781.512902204926,11568.583830685604,1.0
2215.689355842604,3126.186124929544,3827.208519645435,7249.448140950692,9545.694228606719,1.0
1940.349451053061,2023.7273569411022,2719.6028936676094,6308.017249256077,9203.832848006161,1.0
1897.3701313887357,2376.4763579837636,4043.388765468312,5061.150383906528,6836.01085347182,1.0
3070.6471274884298,4829.867736318381,6313.175029704966,7804.889789898132,12253.193838084822,1.0
1163.1103770584039,1398.7014095890368,3883.940341545137,8874.509284751062,11671.41343217813,1.0
2077.2428687627307,3068.8690768593474,3830.3911660148246,7247.084413783765,9732.986580615472,1.0
4617.980987200963,6044.790353871118,7956.1755147621625,9422.301107764904,13669.186027702068,1.0
3582.369612629805,5060.595571819094,6998.862835627365,8616.85308623706,12939.364103972646,1.0
1967.7014330837126,2082.027293708753,2582.066345876085,6729.134253566171,9341.329621200119,1.0
1443.9874497304577,3089.539175314263,3852.723560611843,4490.510903498557,5935.95060761702,1.0
3140.061368986879,4901.809238181604,6385.318862790533,7872.455639239185,12318.289088487772,1.0
228.82843381666734,1266.9904489514008,2179.366656876448,4352.126196767287,8767.757091214902,3.5
1026.4311310410446,1431.7641377280966,1912.1083151248831,3628.7241945755086,8723.480325534094,1.0
3583.358118800724,5166.349024512853,6836.395781336435,8687.771845572695,12998.500566206429,1.0
2024.2211061506796,2225.9377449912117,2447.0332362130744,6883.2906909768235,9479.472951828831,1.0
1897.3701313887357,2376.4763579837636,4043.388765468312,5061.150383906528,5716.41204019574,1.0
1443.9874497304577,3089.539175314263,3859.7058766648465,4490.510903498557,5935.95060761702,1.0
3098.600409659309,4973.760159624154,6202.390022522615,7940.104311167008,12383.463939429666,1.0
1236.2832256952613,2465.6503143991936,3019.86503609556,4769.804321531744,5840.7702386280125,1.0
694.2890203938329,1704.6090432150258,2567.007468751059,3413.954350697364,7546.003220909073,1.0
4617.980987200963,6044.790353871118,7956.1755147621625,9081.186136368227,13669.186027702068,1.0
3473.3259173564725,5047.902802805657,6716.28867609191,8563.001370831187,12874.387077657377,1.0
1988.8370477566118,2314.9416900118713,2371.6744223437995,7037.628238219109,9618.234980844349,1.0
1905.9706322984996,2355.07193729793,4022.224371846743,5085.6120625771855,5647.558446976838,1.0
1722.1274061884756,3089.539175314263,4104.452234869396,4490.510903498557,6300.332798254615,1.0
595.076292494973,1056.8854361707447,1957.1999338658013,3651.6692798642903,6738.089915528663,3.5
1236.2832256952613,2465.6503143991936,3019.86503609556,4769.804321531744,5750.228807976729,1.0
228.82843381666734,1266.9904489514008,2179.366656876448,3778.687102610062,9142.53972986185,3.5
1334.597144157075,1431.7641377280966,1912.1083151248831,3628.7241945755086,8723.480325534094,1.0
819.1737323117566,1766.1055824334674,2705.9998897535684,3376.156820072711,7663.678910059279,1.0
3364.3222871784105,4929.768476731247,6596.354566894781,8060.140720964657,12750.286532410195,1.0
1965.5917393469188,2186.324933904887,2518.9203658998163,3398.5706850475763,7192.135235525882,1.0
1345.0434062640488,1743.7640443106004,3816.2074515462755,4967.279947581581,5465.875759610267,1.0
595.076292494973,1056.8854361707447,1957.1999338658013,3396.3999896632645,6738.089915528663,3.5
3202.681804173925,5081.703327794352,6310.709170724221,7687.9964039861625,12481.372738503445,1.0
1236.2832256952613,2465.6503143991936,3019.86503609556,4559.568158719642,5750.228807976729,1.0
853.046414310887,1603.1122095516496,2727.617814236466,3396.565322482554,7669.886472758593,1.0
3256.450519319196,4811.969018152366,6476.603064853268,7935.637939221447,12626.199312360575,1.0
1357.6103947149647,2379.404808235164,2451.708368282845,3415.487757876474,7134.784123089689,1.0
1345.0434062640488,1605.2100696539615,2555.4831789535383,5101.972693997817,5380.882963455925,1.0
595.076292494973,696.2249050091455,1668.3447975138847,3396.3999896632645,6738.089915528663,3.5
3202.681804173925,5723.138018716407,6310.709170724221,7687.9964039861625,12481.372738503445,1.0
1109.7553199115914,1990.1513797392327,2851.838497661702,4876.150442815405,5668.157436722081,1.0
853.046414310887,1603.1122095516496,2727.617814236466,3396.565322482554,7140.070669633441,1.0
3885.026974599845,4894.252757726837,6292.596461367906,7160.799365850027,11362.210111339387,1.0
4617.980987200963,6044.790353871118,8577.01507723205,9081.186136368227,13669.186027702068,1.0
3245.729950066104,4800.208439792132,6464.638348885534,7923.188125335345,12613.79133838837,1.0
1299.9569633901199,2135.7781545232833,2294.1146808382096,3510.3068842559414,6987.636364860389,1.0
659.6965881267662,936.6318453485585,1668.3447975138847,3396.3999896632645,6507.225748460096,1.0
3430.4484500481344,5319.031987790726,6491.367853442135,7687.9964039861625,12614.028631811962,1.0
1109.7553199115914,2303.792125962595,3259.986103611756,4711.208897433388,5631.260554679631,1.0
1029.0463955613745,1603.1122095516496,2727.617814236466,3396.565322482554,7140.070669633441,1.0
4658.95663783908,6044.790353871118,8577.01507723205,9081.186136368227,13669.186027702068,1.0
3409.428145069896,4800.208439792132,7344.442522886345,7923.188125335345,12613.79133838837,1.0
1282.8505675584454,2086.3277745353275,2231.7936725937816,3549.934861461845,6681.703454895236,1.0
1689.344884341447,1828.8737681467028,2681.4075339146425,5261.089108441167,5438.348091213031,1.0
648.169671661159,659.6965881267662,1668.3447975138847,3396.3999896632645,6507.225748460096,1.0
3476.9810439766356,5319.031987790726,6286.362607961108,7373.680527948017,12614.028631811962,1.0
1029.0463955613745,1603.1122095516496,2727.617814236466,3469.264778698079,7140.070669633441,1.0
4195.40317706781,4894.252757726837,6912.7480198924095,7160.799365850027,11362.210111339387,1.0
1462.1080279011478,1552.6921603173737,2557.5826604486447,4740.03962555268,5370.212055104594,1.0
1547.8080174786435,1754.9305073805756,2516.5225885460045,4923.90323511008,5284.016455538522,1.0
1985.092573095989,3166.9438624175664,3979.8318423184705,4316.339084705128,6508.128959703715,1.0
648.169671661159,892.3189519000834,1668.3447975138847,3176.3778254168064,6507.225748460096,1.0
1109.7553199115914,2303.792125962595,3259.986103611756,4452.220993383369,5631.260554679631,1.0
