#1 Nearest,#2 Nearest,#3 Nearest,#4 Nearest,#5 Nearest,Multiplier
4335.642914535248,6354.299632723861,7761.846265106163,11849.621603543388,14857.515898570711,1.0
4338.674900046436,6358.025118919403,7767.583830270951,11855.89997399777,14862.707333354507,1.0
4341.718167845422,6361.757567367245,7773.32464415929,11862.179925013963,14867.900866611611,1.0
4718.178416351063,6005.642070279425,8065.151411635982,9543.995960625856,13617.858522429255,1.0
4722.81706367644,6008.490080110568,8067.358262689894,9542.695551999186,13615.23549061032,1.0
4727.487693057137,6011.365469382859,8069.5859091441225,9541.413062722666,13612.624635197082,1.0
4732.190209794648,6014.268198825409,8071.834333780913,9540.148500021838,13610.025963197182,1.0
1413.440195752044,2048.2377618548744,3946.829475438794,4852.231677623495,6937.966333641071,1.0
1498.1400507275087,2186.56516537537,4103.463367892982,4764.01561164262,5594.0733246852005,1.0
1276.7984551793488,2647.0412504053825,3979.6045068556004,7213.105030557823,8842.599253958617,1.0
1900.4880675341535,2182.879544012317,2745.1492887435384,4013.284307515403,6190.671056370586,1.0
1291.0459695653117,2655.2065778613755,3983.54641463925,7223.066211854005,8845.853588321534,1.0
1913.4050561207682,2187.019326406555,2739.289771563504,4004.8407145097367,6202.387830470321,1.0
3215.0332269399037,4557.217237874094,6257.590289007974,7830.909888851042,11962.51905428984,1.0
1305.3111662411768,2663.431760919278,3987.5411299788248,7233.044921694658,8849.132262239445,1.0
1926.3234932828175,2191.2287001962054,2733.4797486029975,3996.42172525499,6214.109813631672,1.0
3216.3714254211172,4560.917543223787,6261.4714329823455,7836.6859677345465,11968.808883417816,1.0
1319.5934717587668,2671.7162467650874,3991.5884943281226,7243.041087633389,8852.435248668484,1.0
1333.8923365555686,2680.05948545823,3995.688347698888,7253.0546374968535,8855.762520405731,1.0
1464.2067585657883,2275.1525902917174,4103.463367892982,4764.01561164262,5594.0733246852005,1.0
1348.2072337622124,2688.4609300083716,3999.8405286891484,7263.085499384398,8859.114050088088,1.0
4780.948165472498,6251.087687376149,7956.1755147621625,9528.49035479248,13622.83800984502,1.0
3024.6698488055063,4604.205595235415,6307.304470194309,8124.6134234407,12325.113398875143,1.0
1362.5376580674613,2696.9200364488083,4004.0448745096646,7273.133601665719,8862.489810193292,1.0
3042.2222817603088,4621.467912664045,6324.631886553521,8140.350968184511,12340.214045838251,1.0
1488.4822551723994,2683.4806243141675,3508.3919615345735,3992.6640550231286,7271.944592120239,1.0
3059.775093578325,4638.732659297858,6341.9607248596885,8156.096066659793,12355.321270716307,1.0
1474.9129872959254,2670.04884518136,3501.1180322732894,3981.301189147522,7270.783030410527,1.0
3077.32827777062,4655.999808108734,6228.604091233119,8053.052390618784,12370.435049406608,1.0
1461.3552637197417,2656.6248148248897,3493.886485831602,3969.95643104227,7269.648929692183,1.0
3094.881827997896,4673.269332469331,6245.891912641355,8068.904611264055,12385.555357917783,1.0
104.73689219372328,1431.7641377280966,1897.6415676374518,4049.825923671426,8602.441823325142,3.5
1447.8094087481086,2643.208651300644,3486.697585914833,3958.6299363868497,7268.542302815651,1.0
3112.4357380608526,4690.541206134638,6263.181392802192,8084.764004056565,12400.682172360235,1.0
1926.3234932828175,2191.2287001962054,2733.4797486029975,3996.42172525499,6292.472272381712,1.0
1434.2757586510152,2629.8004750066793,3291.900920763357,3947.321862394007,7267.463162332504,1.0
3129.990001901681,4707.8154032465645,6280.472518016354,8100.630526871704,12415.815468955812,1.0
693.2081430842007,1431.7641377280966,1897.6415676374518,4049.825923671426,8602.441823325142,1.0
1420.7546622008945,2616.4004087332078,3284.698620730396,3936.032367827518,7266.411520487689,1.0
3147.5446135983025,4725.091898320192,6297.765274732784,8116.504137894069,12430.95522402987,1.0
1407.2464812449657,2535.5120558069602,3277.5418176420762,3924.761613014894,7265.387389220884,1.0
3165.0995673540488,4742.370666234512,6315.059649542071,8132.384795611413,12446.10141400892,1.0
1393.7515913045268,2521.573397355298,3270.430810180696,3913.5097598641655,7264.390780163511,1.0
3182.6548575064735,4759.65168223675,6332.355629187908,8148.272458824587,12461.254015430575,1.0
415.7933760954745,1433.212345114099,2131.6270917587754,3414.092876359718,6690.129827742498,3.5
1380.270382211391,2507.6374151951186,3263.365897717075,3947.4433348052753,7263.421704645952,1.0
3200.2104785153733,4776.934921924198,6219.930124293752,8164.16708663167,12476.41300493298,1.0
1366.8032587763546,2493.7041541948656,3256.3473802697163,3936.2039700916334,7262.480173688603,1.0
3217.7664249584195,4923.09073728012,6237.182033825619,8066.062653318138,12610.101499102504,1.0
1353.350641487233,2479.773660216828,3249.3755584692026,3924.983631814086,7261.566198004645,1.0
3235.322691535715,4940.270452440145,6254.435802832238,8082.1081223993315,12625.458334929388,1.0
1339.9129672595598,2465.8459801540357,3242.4507335238177,3913.7824836089612,7238.217441508814,1.0
3252.879273059128,4957.4530147776495,6271.691415965649,8098.159990369522,12640.82098269314,1.0
1326.4906902165433,2451.9211619551206,3235.5732071782,3902.6006907125793,7237.926634477112,1.0
3270.4361644508513,4974.638394785635,6288.948858042443,8114.218219250644,12656.189421227009,1.0
3236.93589603319,4719.4468786475,6176.595694971284,7607.2017817882415,12187.859073367108,1.0
1341.7021683148332,2275.1525902917174,3636.9537813494403,4750.875280508486,5594.0733246852005,1.0
1313.084282518906,2437.9992546526073,3228.743281683644,3891.4384199694955,7237.6635845089,1.0
3287.9933607424236,4991.826563357143,6306.208114043572,8130.282771346188,12671.563629456186,1.0
1236.2832256952613,2275.1525902917174,3636.9537813494403,4750.875280508486,5594.0733246852005,1.0
1299.6942352389074,2424.080308395858,3221.961259750502,3880.2958398523674,7237.428294629612,1.0
3305.550857071787,5009.017491787914,6323.469169117224,8146.353609252524,12686.943586410494,1.0
1236.2832256952613,2275.1525902917174,3500.1868731428654,4750.875280508486,5594.0733246852005,1.0
1286.3210592836288,2410.164374482275,3215.227444510831,3869.1731204762577,7237.220767545568,1.0
3323.108648679938,5026.211151755268,6340.7320085673455,8162.430695837922,12702.329271205459,1.0
1272.9652863708147,2396.251505389815,3208.5421394735604,3858.0704336155636,7237.041005638441,1.0
3340.6667309052395,5043.40751531844,6357.996617857232,8178.513994249745,12717.720663050774,1.0
1259.62747006694,2382.3417548094567,3201.90564849842,3846.987952709174,7236.889010983949,1.0
3358.2250991844203,5060.606554913019,6375.262982604334,8194.603467908984,12733.117741247686,1.0
634.3569581358188,1526.9652687152632,1801.663556162529,3966.7635152454554,8574.23562525769,1.0
693.2081430842007,1565.9113963590567,1897.6415676374518,4049.825923671426,8660.642802471624,1.0
1246.3081868715497,2368.435177682028,3195.3182757322734,3835.925852890148,7236.764785327739,1.0
