Age of Message,Number of blue Nodes,Score
0.0,12.0,2364.0
1.0,12.0,2356.0
2.0,12.0,2348.0
3.0,12.0,2340.0
4.0,12.0,2332.0
5.0,12.0,2324.0
6.0,12.0,2316.0
7.0,12.0,2308.0
8.0,12.0,2300.0
9.0,12.0,2292.0
10.0,12.0,2284.0
11.0,12.0,2276.0
12.0,12.0,2268.0
13.0,12.0,2260.0
14.0,12.0,2252.0
15.0,12.0,2244.0
16.0,12.0,2236.0
17.0,12.0,2228.0
18.0,12.0,2220.0
19.0,12.0,2212.0
20.0,12.0,2204.0
21.0,12.0,2196.0
22.0,12.0,2188.0
23.0,12.0,2180.0
24.0,12.0,2172.0
25.0,12.0,2164.0
26.0,12.0,2156.0
27.0,12.0,2148.0
28.0,12.0,2140.0
29.0,12.0,2132.0
30.0,12.0,2124.0
31.0,12.0,2116.0
32.0,12.0,2108.0
33.0,12.0,2100.0
34.0,12.0,2092.0
35.0,12.0,2084.0
36.0,12.0,2076.0
37.0,12.0,2068.0
38.0,12.0,2060.0
39.0,12.0,2052.0
40.0,12.0,2044.0
41.0,12.0,2036.0
42.0,12.0,2028.0
43.0,12.0,2020.0
44.0,12.0,2012.0
45.0,12.0,2004.0
46.0,12.0,1996.0
47.0,12.0,1988.0
48.0,12.0,1980.0
49.0,12.0,1972.0
50.0,12.0,1964.0
51.0,12.0,1956.0
52.0,12.0,1948.0
53.0,12.0,1940.0
54.0,12.0,1932.0
55.0,12.0,1924.0
56.0,12.0,1916.0
57.0,12.0,1908.0
58.0,12.0,1900.0
59.0,12.0,1892.0
60.0,12.0,1884.0
61.0,12.0,1876.0
62.0,12.0,1868.0
63.0,12.0,1860.0
64.0,12.0,1852.0
65.0,12.0,1844.0
66.0,12.0,1836.0
67.0,12.0,1828.0
68.0,12.0,1820.0
69.0,12.0,1812.0
70.0,12.0,1804.0
71.0,12.0,1796.0
72.0,12.0,1788.0
73.0,12.0,1780.0
74.0,12.0,1772.0
75.0,12.0,1764.0
76.0,12.0,1756.0
77.0,12.0,1748.0
78.0,12.0,1740.0
79.0,12.0,1732.0
80.0,12.0,1724.0
81.0,12.0,1716.0
82.0,12.0,1708.0
83.0,12.0,1700.0
84.0,12.0,1692.0
85.0,12.0,1684.0
86.0,12.0,1676.0
87.0,12.0,1668.0
88.0,12.0,1660.0
89.0,12.0,1652.0
90.0,12.0,1644.0
91.0,12.0,1636.0
92.0,12.0,1628.0
93.0,12.0,1620.0
94.0,12.0,1612.0
95.0,12.0,1604.0
96.0,12.0,1596.0
97.0,12.0,1588.0
98.0,12.0,1580.0
99.0,12.0,1572.0
100.0,12.0,1564.0
101.0,12.0,1556.0
102.0,12.0,1548.0
103.0,12.0,1540.0
104.0,12.0,1532.0
105.0,12.0,1524.0
106.0,12.0,1516.0
107.0,12.0,1508.0
108.0,12.0,1500.0
109.0,12.0,1492.0
110.0,12.0,1484.0
111.0,12.0,1476.0
112.0,12.0,1468.0
113.0,12.0,1460.0
114.0,12.0,1452.0
115.0,12.0,1444.0
116.0,12.0,1436.0
117.0,12.0,1428.0
118.0,12.0,1420.0
119.0,12.0,1412.0
120.0,12.0,1404.0
121.0,12.0,1396.0
122.0,12.0,1388.0
123.0,12.0,1380.0
