#1 Nearest,#2 Nearest,#3 Nearest,#4 Nearest,#5 Nearest,Multiplier
1435.5318198733921,2681.242329746743,2975.0906556143227,3076.3581974041826,9333.594346002616,1.0
274.55155113880664,1460.4108803090446,3107.922245327933,3786.513484700172,7974.73054991224,6.424140814353223
1563.1043598890367,2672.560347053734,3192.861720081991,3348.367915604561,8269.11164805567,1.0
1628.415320751442,1749.1427206515411,3490.780331615135,4585.165141835841,6814.432694264218,1.0
3009.7802086271263,4116.440103411271,6751.832275644576,7156.500623984133,7349.733066920551,1.0
1854.6704743965165,2575.3878568063637,2892.459838995979,3176.7409165811932,8620.12041011438,1.0
2046.8275056376465,3027.0488571641436,3346.9744201545027,3697.1213703963253,7843.055692574103,1.0
1418.7788163406497,2669.4195392693127,2973.700658175511,3066.254925783857,8555.707222659841,1.0
2291.3893286909883,3371.01627147533,3387.688580480002,8395.721895555705,9330.08884743065,1.0
2296.836252520168,2564.5394606960363,3474.5215379366764,6723.810651610697,10927.843526391238,1.0
2784.3295516978483,5174.944741261696,6114.159206096886,6425.58042760288,11835.730703506317,1.0
3859.7208961560355,3978.4932972849997,5399.87051325731,6026.45390596442,6390.108474772931,1.0
3985.763217287871,5523.760674277262,8534.976328905579,8988.403835940146,9150.184278396007,1.0
4642.169276660914,5023.658934970954,5465.264925726268,8222.783964664703,8325.68399853575,1.0
1559.8741432165389,2662.74953695886,3206.672824065441,3359.5844315122554,8261.059602330348,1.0
1862.7900644357844,2556.9950135244308,2877.9326448720017,3189.908847857782,8633.36865418087,1.0
2059.4284344554585,3033.9302530436107,3357.7693011686256,3711.5707877854375,7827.855265470908,1.0
1402.0563829778596,2657.6658820397456,2972.4188661254657,3056.2241226576457,8570.061059693873,1.0
2292.7087887480143,3359.022129157439,3377.8710388784502,8407.318610754684,9320.091114273444,1.0
2784.231795172454,5184.29494459378,6120.904115407957,6436.160746237482,11833.373099547798,1.0
3872.3335396846464,3991.6278069672153,5386.680618902779,6036.318036252116,6401.798459795237,1.0
4642.417668873385,5029.9296299128555,5468.210403522466,8229.052076690614,8330.290992657034,1.0
274.55155113880664,1460.4108803090446,3107.922245327933,3850.8269311282834,7974.73054991224,6.424140814353223
1556.7631432362646,2652.9763312910973,3353.405891563672,3370.8217743876708,8253.023463132178,1.0
