Distance since Last Update,Number of blue Nodes,Average Distance,Average Hierarchical distance,Is Affected,Score
1000000.0,12.0,1472.0639101168151,1.75,0.0,380120.60298
1000000.0,12.0,2089.5656109414977,1.8333334,0.0,94064.24847
1000000.0,12.0,1472.0639101168151,1.75,0.0,380120.60298
0.0,12.0,2089.5656109414977,1.8333334,0.0,0.0
1000000.0,12.0,1472.0639101168151,1.75,0.0,380120.60298
1000000.0,12.0,2468.701999131327,2.75,0.0,32897.98474
1000000.0,12.0,1955.8329777920917,2.75,0.0,103321.50655
1000000.0,12.0,1765.3944538456815,2.75,0.0,158031.88792
1000000.0,12.0,1673.1837840208107,1.8333334,0.0,238199.1858
1000000.0,12.0,1472.0639101168151,1.75,0.0,380120.60298
1000000.0,12.0,2089.5656109414977,1.8333334,0.0,94064.24847
0.0,12.0,1673.1837840208107,1.8333334,0.0,0.0
1000000.0,12.0,1472.0639101168151,1.75,0.0,380120.60298
1000000.0,12.0,2089.5656109414977,1.8333334,0.0,94064.24847
1000000.0,12.0,1542.2488921147394,2.75,0.0,260013.03542
1000000.0,12.0,1596.0429673172941,2.75,0.0,230602.10962
1000000.0,12.0,1932.802188266742,2.75,0.0,108770.18601
1000000.0,12.0,1459.095219496352,1.8333334,0.0,384072.77952
1000000.0,12.0,1472.0639101168151,1.75,0.0,380120.60298
1000000.0,12.0,2089.5656109414977,1.8333334,0.0,94064.24847
1000000.0,12.0,1673.1837840208107,1.8333334,0.0,238199.1858
0.0,12.0,1459.095219496352,1.8333334,0.0,0.0
1000000.0,12.0,1295.2205604963726,2.75,0.0,451222.04515
1000000.0,12.0,1375.5163088241054,2.75,0.0,377203.47885
1000000.0,12.0,1427.7063803825322,2.75,0.0,335736.28793
1000000.0,12.0,2468.701999131327,2.75,0.0,32897.98474
1000000.0,12.0,1955.8329777920917,2.75,0.0,103321.50655
1000000.0,12.0,1765.3944538456815,2.75,0.0,158031.88792
1000000.0,12.0,1673.1837840208107,1.8333334,0.0,238199.1858
1000000.0,12.0,1459.095219496352,1.8333334,0.0,384072.77952
1000000.0,12.0,1673.1837840208107,1.8333334,0.0,238199.1858
1000000.0,12.0,1459.095219496352,1.8333334,0.0,384072.77952
1000000.0,12.0,1542.2488921147394,2.75,0.0,260013.03542
1000000.0,12.0,1596.0429673172941,2.75,0.0,230602.10962
1000000.0,12.0,1932.802188266742,2.75,0.0,108770.18601
1000000.0,12.0,1459.095219496352,1.8333334,0.0,384072.77952
1000000.0,12.0,2468.701999131327,2.75,0.0,32897.98474
1000000.0,12.0,1955.8329777920917,2.75,0.0,103321.50655
1000000.0,12.0,1765.3944538456815,2.75,0.0,158031.88792
1000000.0,12.0,1459.095219496352,1.8333334,0.0,384072.77952
1000000.0,12.0,2468.701999131327,2.75,0.0,32897.98474
1000000.0,12.0,1955.8329777920917,2.75,0.0,103321.50655
1000000.0,12.0,1765.3944538456815,2.75,0.0,158031.88792
1000000.0,12.0,1295.2205604963726,2.75,0.0,451222.04515
1000000.0,12.0,1375.5163088241054,2.75,0.0,377203.47885
1000000.0,12.0,1427.7063803825322,2.75,0.0,335736.28793
1000000.0,12.0,2468.701999131327,2.75,0.0,32897.98474
1000000.0,12.0,1955.8329777920917,2.75,0.0,103321.50655
1000000.0,12.0,1765.3944538456815,2.75,0.0,158031.88792
1000000.0,12.0,1932.802188266742,2.75,0.0,108770.18601
1000000.0,12.0,1596.0429673172941,2.75,0.0,230602.10962
1000000.0,12.0,1542.2488921147394,2.75,0.0,260013.03542
1000000.0,12.0,1295.2205604963726,2.75,0.0,451222.04515
1000000.0,12.0,1375.5163088241054,2.75,0.0,377203.47885
1000000.0,12.0,1427.7063803825322,2.75,0.0,335736.28793
1000000.0,12.0,1932.802188266742,2.75,0.0,108770.18601
1000000.0,12.0,1596.0429673172941,2.75,0.0,230602.10962
1000000.0,12.0,1542.2488921147394,2.75,0.0,260013.03542
1000000.0,12.0,1427.7063803825322,2.75,0.0,335736.28793
1000000.0,12.0,1375.5163088241054,2.75,0.0,377203.47885
1000000.0,12.0,1295.2205604963726,2.75,0.0,451222.04515
1000000.0,12.0,1932.802188266742,2.75,0.0,108770.18601
1000000.0,12.0,1596.0429673172941,2.75,0.0,230602.10962
1000000.0,12.0,1542.2488921147394,2.75,0.0,260013.03542
1000000.0,12.0,1427.7063803825322,2.75,0.0,335736.28793
1000000.0,12.0,1375.5163088241054,2.75,0.0,377203.47885
1000000.0,12.0,1295.2205604963726,2.75,0.0,451222.04515
1000000.0,12.0,1427.7063803825322,2.75,0.0,335736.28793
1000000.0,12.0,1375.5163088241054,2.75,0.0,377203.47885
1000000.0,12.0,1295.2205604963726,2.75,0.0,451222.04515
1000000.0,12.0,1427.7063803825322,2.75,0.0,335736.28793
1000000.0,12.0,1375.5163088241054,2.75,0.0,377203.47885
1000000.0,12.0,1295.2205604963726,2.75,0.0,451222.04515
12.905794723696445,12.0,1462.3545060020253,1.75,0.0,5.01321
10.561826434774098,12.0,2081.8509648688473,1.8333334,0.0,1.01074
1000000.0,12.0,1461.8458169112316,1.75,0.0,388887.30399
0.0,12.0,2081.8509648688473,1.8333334,0.0,0.0
1000000.0,12.0,1461.8458169112316,1.75,0.0,388887.30399
15.794533239419037,12.0,2466.920066667061,2.75,0.0,0.52168
