Distance since Last Update,Number of blue Nodes,Average Distance,Average Hierarchical distance,Is Affected,Score
0.0,12.0,2177.959526390459,2.75,0.0,0.0
0.0,12.0,2612.7795908307603,2.75,0.0,0.0
0.0,12.0,2177.421635456168,2.75,0.0,0.0
0.0,12.0,2613.3486683289398,2.75,0.0,0.0
0.0,12.0,2460.7821785111905,1.8333334,0.0,0.0
12.684226205652678,12.0,2365.9126879542127,2.75,0.0,3.23319
0.0,12.0,2459.448970174471,1.8333334,0.0,0.0
12.68422623709405,12.0,2360.31110959423,2.75,0.0,3.25032
12.684226266099904,12.0,2353.93281725748,2.75,0.0,3.26993
12.684226294966011,12.0,2349.2925066839284,2.75,0.0,3.28427
12.684226323823994,12.0,2343.0284819795243,2.75,0.0,3.30373
12.684226352805426,12.0,2336.8181189182246,2.75,0.0,3.32314
0.0,12.0,2174.8819429602354,2.75,0.0,0.0
12.684226379088148,12.0,2330.660323131651,2.75,0.0,3.34249
12.684226408184921,12.0,2327.1056161515035,2.75,0.0,3.35372
0.0,12.0,2616.5715024135557,2.75,0.0,0.0
0.0,12.0,2445.5531496820367,1.8333334,0.0,0.0
0.0,12.0,2604.5983467538567,1.8333334,0.0,0.0
12.684226436878744,12.0,2322.7648124681778,2.75,0.0,3.36747
0.0,12.0,2617.9289192040237,2.75,0.0,0.0
0.0,12.0,2445.6391105812595,1.8333334,0.0,0.0
0.0,12.0,2605.4085834971575,1.8333334,0.0,0.0
12.684226465696032,12.0,2316.7671219016893,2.75,0.0,3.38658
0.0,12.0,2445.73825206996,1.8333334,0.0,0.0
12.684226494899997,12.0,2312.5390053246997,2.75,0.0,3.40011
0.0,12.0,2183.017808023265,2.75,0.0,0.0
0.0,12.0,2445.850609223115,1.8333334,0.0,0.0
12.684226523569407,12.0,2306.641507104667,2.75,0.0,3.41907
0.0,12.0,2181.2055861133535,2.75,0.0,0.0
12.68422655249388,12.0,2300.79136423358,2.75,0.0,3.43799
12.68422658101542,12.0,2294.987910798246,2.75,0.0,3.45686
12.684226607627853,12.0,2289.230532607335,2.75,0.0,3.47568
12.684226638955295,12.0,2285.259731075094,2.75,0.0,3.48872
0.0,12.0,3112.5776770305406,2.75,0.0,0.0
12.684226665156645,12.0,2282.21990416258,2.75,0.0,3.49873
0.0,12.0,3109.3273476501377,2.75,0.0,0.0
12.684226696599412,12.0,2276.6055483044784,2.75,0.0,3.51731
0.0,12.0,2584.3024044470594,1.75,0.0,0.0
12.68422672508026,12.0,2274.0964157422386,2.75,0.0,3.52564
0.0,12.0,2585.9992883228037,1.75,0.0,0.0
0.0,12.0,2276.923691729515,2.75,0.0,0.0
0.0,12.0,2429.018801502402,1.8333334,0.0,0.0
0.0,12.0,2633.0237287668015,2.75,0.0,0.0
0.0,12.0,2430.0179673977627,1.8333334,0.0,0.0
0.0,12.0,2163.814026860394,2.75,0.0,0.0
0.0,12.0,2636.3773033027364,2.75,0.0,0.0
0.0,12.0,2426.0379756085754,1.8333334,0.0,0.0
0.0,12.0,2279.4677147336583,2.75,0.0,0.0
0.0,12.0,2636.766452404532,2.75,0.0,0.0
0.0,12.0,2425.66715617565,1.8333334,0.0,0.0
0.0,12.0,2280.6247588469996,2.75,0.0,0.0
0.0,12.0,2458.511190624731,1.8333334,0.0,0.0
16.486046245105403,12.0,2624.599619731136,2.75,0.0,3.29253
0.0,12.0,2460.7814678534005,1.8333334,0.0,0.0
16.48604634231647,12.0,2617.7212357356443,2.75,0.0,3.31396
16.48604643909127,12.0,2610.901929499551,2.75,0.0,3.33534
16.486046534090068,12.0,2607.059949747027,2.75,0.0,3.34744
16.486046631202704,12.0,2600.361136401128,2.75,0.0,3.36866
0.0,12.0,2417.9785173558125,1.8333334,0.0,0.0
16.4860467280808,12.0,2594.0520578240153,2.75,0.0,3.38876
0.0,12.0,2415.5094184793647,1.8333334,0.0,0.0
16.48604682298118,12.0,2585.978493529052,2.75,0.0,3.41466
0.0,12.0,2462.8859233201138,1.8333334,0.0,0.0
16.486046920197094,12.0,2578.737817341073,2.75,0.0,3.43806
0.0,12.0,2462.744626461742,1.8333334,0.0,0.0
16.486047016573323,12.0,2572.2764989343755,2.75,0.0,3.45908
16.15202762183483,12.0,3515.947798014173,2.75,0.0,1.39173
0.0,12.0,2638.619949734873,2.75,0.0,0.0
16.48604711587026,12.0,2564.4451955927148,2.75,0.0,3.48472
16.152027734812656,12.0,3523.1511065712693,2.75,0.0,1.38231
0.0,12.0,2638.055574137204,2.75,0.0,0.0
0.0,12.0,2279.1748502284095,2.75,0.0,0.0
0.0,12.0,2564.4451955927148,2.75,0.0,0.0
16.15202784908613,12.0,3530.4327939453797,2.75,0.0,1.37285
