Distance since Last Update,Number of blue Nodes,Average Distance,Average Hierarchical distance,Is Affected,Score
15.471959492597316,12.0,2893.5837418263886,2.75,0.0,2.39765
0.0,12.0,2894.9534592160976,2.75,0.0,0.0
0.0,12.0,3524.8997138478753,1.8333334,0.0,0.0
0.0,12.0,3525.4354793432162,1.8333334,0.0,0.0
0.0,12.0,2892.524822078269,1.75,0.0,0.0
0.0,12.0,2892.212274811676,1.75,0.0,0.0
15.471959068533709,12.0,2941.5351315766807,2.75,0.0,2.29164
0.0,12.0,2942.9338818831843,2.75,0.0,0.0
17.986916757862765,12.0,2792.546412885283,2.75,0.0,3.06606
12.16242767073942,12.0,2667.506960783854,2.75,0.0,2.3327
0.0,12.0,2792.546412885283,2.75,0.0,0.0
0.0,12.0,2669.7161734097826,2.75,0.0,0.0
10.704453724088314,12.0,4765.662776007878,2.75,0.0,0.28381
0.0,12.0,4765.716819724826,2.75,0.0,0.0
0.0,12.0,3534.8267253236168,1.8333334,0.0,0.0
0.0,12.0,3534.8504999097863,1.8333334,0.0,0.0
15.471958307552708,12.0,3043.3802676184537,2.75,0.0,2.08176
0.0,12.0,3044.80216855154,2.75,0.0,0.0
0.0,12.0,3688.2506465934152,2.75,0.0,0.0
0.0,12.0,3688.6508180166798,2.75,0.0,0.0
18.48525678046606,12.0,3267.029666329216,2.75,0.0,2.01423
12.162427785286443,12.0,2711.442046914581,2.75,0.0,2.23802
0.0,12.0,3268.984425320978,2.75,0.0,0.0
0.0,12.0,2714.166176223793,2.75,0.0,0.0
13.199073439277242,12.0,4122.238206584808,2.75,0.0,0.64201
0.0,12.0,4123.781474263802,2.75,0.0,0.0
12.162427820643702,12.0,2728.3719818887803,2.75,0.0,2.20257
0.0,12.0,2731.279246887074,2.75,0.0,0.0
0.0,12.0,2917.8814695390242,1.75,0.0,0.0
13.199073100647631,12.0,4188.791611344358,2.75,0.0,0.60296
0.0,12.0,4191.913432434316,2.75,0.0,0.0
0.0,12.0,2848.1347530421986,1.8333334,0.0,0.0
0.0,12.0,3335.782274710038,2.75,0.0,0.0
0.0,12.0,2850.1054940992963,1.8333334,0.0,0.0
0.0,12.0,3336.3070897139437,2.75,0.0,0.0
0.0,12.0,2857.101736650422,1.8333334,0.0,0.0
0.0,12.0,2859.122727197095,1.8333334,0.0,0.0
0.0,12.0,3697.702871457259,2.75,0.0,0.0
0.0,12.0,3697.380500787038,2.75,0.0,0.0
10.704454532331622,12.0,4810.720704577787,2.75,0.0,0.272
0.0,12.0,4811.633443581125,2.75,0.0,0.0
0.0,12.0,3552.088135975322,1.8333334,0.0,0.0
0.0,12.0,3552.532497365763,1.8333334,0.0,0.0
0.0,12.0,3364.4361493443066,2.75,0.0,0.0
14.370800365461687,12.0,3326.5242344602216,2.75,0.0,1.48046
0.0,12.0,3364.1063351590587,2.75,0.0,0.0
0.0,12.0,3326.5242344602216,2.75,0.0,0.0
0.0,12.0,2933.461979412545,1.75,0.0,0.0
12.5635538233001,12.0,5570.448046306138,2.75,0.0,0.15594
0.0,12.0,5569.363522669268,2.75,0.0,0.0
0.0,12.0,2913.9885323115845,1.8333334,0.0,0.0
0.0,12.0,2914.8332133006356,1.8333334,0.0,0.0
0.0,12.0,3715.1301510068574,2.75,0.0,0.0
0.0,12.0,3716.3514848213163,2.75,0.0,0.0
0.0,12.0,2926.962900597297,1.8333334,0.0,0.0
13.199071550787085,12.0,4485.327426472454,2.75,0.0,0.45586
0.0,12.0,2927.8452389032786,1.8333334,0.0,0.0
0.0,12.0,4484.887626265681,2.75,0.0,0.0
0.0,12.0,2945.9682175662037,1.75,0.0,0.0
15.482352076487786,12.0,5516.518925145541,2.75,0.0,0.20219
0.0,12.0,5515.469167487167,2.75,0.0,0.0
0.0,12.0,3397.7507287975313,2.75,0.0,0.0
0.0,12.0,3397.6713332585023,2.75,0.0,0.0
11.452733483757843,12.0,2784.340032585076,2.75,0.0,1.96741
0.0,12.0,2785.2328922138654,2.75,0.0,0.0
0.0,12.0,3575.1848990931126,1.8333334,0.0,0.0
14.370797173927539,12.0,3549.2261470086396,2.75,0.0,1.2
